Ref,Val,Package,PosX,PosY,Rot,Side
"R54","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,77.000000,0.000000,bottom
"R55","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,69.600000,0.000000,bottom
"R56","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.975000,62.100000,0.000000,bottom
"R57","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,44.500000,0.000000,bottom
"R58","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,37.000000,0.000000,bottom
"R59","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,29.600000,0.000000,bottom
"R60","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,22.200000,0.000000,bottom
"R61","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,14.800000,0.000000,bottom
"R62","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,91.025000,90.000000,bottom
"R63","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,83.525000,90.000000,bottom
"R64","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,76.125000,90.000000,bottom
"R65","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,68.725000,90.000000,bottom
"R66","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,61.325000,90.000000,bottom
"R67","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,43.575000,90.000000,bottom
"R68","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,36.075000,90.000000,bottom
"R69","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,28.675000,90.000000,bottom
"R70","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,21.275000,90.000000,bottom
"R71","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,13.875000,90.000000,bottom
"R82","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.975000,88.200000,0.000000,bottom
"R83","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,80.700000,0.000000,bottom
"R84","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.025000,73.300000,0.000000,bottom
"R85","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.025000,65.800000,0.000000,bottom
"R86","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.000000,58.400000,0.000000,bottom
"R87","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,40.800000,0.000000,bottom
"R88","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,33.300000,0.000000,bottom
"R89","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,25.900000,0.000000,bottom
"R90","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,18.500000,0.000000,bottom
"R91","10K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",37.075000,11.100000,0.000000,bottom
"R92","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,87.275000,90.000000,bottom
"R93","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,79.825000,90.000000,bottom
"R94","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,72.425000,90.000000,bottom
"R95","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,64.975000,90.000000,bottom
"R96","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.300000,57.625000,90.000000,bottom
"R97","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,39.875000,90.000000,bottom
"R98","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,32.375000,90.000000,bottom
"R99","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,24.975000,90.000000,bottom
"R100","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,17.575000,90.000000,bottom
"R101","2K2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",34.400000,10.175000,90.000000,bottom
